,Data,Countries,Local,Industry Sector,Accident Level,Potential Accident Level,Genre,Employee or Third Party,Critical Risk,Description
1202,3/21/2017,,,,V,V,Male,Employee,Head Trauma,"At approximately 4:25 p.m. on March 20, 2017, Employee #1 fell from a roof of a three story building. He suffered massive blunt force traumas to his head and torso and died at the hospital. "
1203,3/21/2017,,,,V,V,Male,Employee,Head Trauma,"At 11:00 a.m. on March 21, 2017, Employee #1 was looking for the owner of the facility. The employee fell from an unguarded stairs and sustained bruises to his neck, shoulder, and head. Employee #1 was hospitalized for his injuries. "
1204,3/21/2017,,,,V,V,Male,Employee,"Amputation, Crushing","At 11:00 a.m. on March 21, 2017, Employee #1 was operating the Enterprise Model 200/18 L-H Alligator Shear, used to work on gas pump nozzle handles. The employee was holding a piece of metal to be sheared, using the foot treadle, when his pinky finger on his left hand came in contact with the blade of the shear and the tip was amputated. "
1205,3/21/2017,,,,V,V,Male,Employee,"Amputation, Crushing","At 11:45 a.m. on March 21, 2017, Employee #1 responded to an alarm condition (""SLOW FEED"") of the boric acid feeder on Line 1. The cloth cylinder used to prevent dusting had become entrapped above the discharge pneumatic metal slide gate of the silo. Upon movement of the cloth cylinder, the metal slide gate closed on Employee #1's right hand, amputating the bone above the first phalanx on both the index and ring fingers. "
1206,3/21/2017,,,,V,V,Male,Employee,Fire Burn,"At 10:30 p.m. on March 21, 2017, Employee #1 was cleaning out a power boiler hopper. Hot ash fell on the employee, burning fifty percent of his body. Employee #1 was hospitalized for treatment. "
1207,3/21/2017,,,,V,V,Male,Employee,"Amputation, Crushing","At 9:00 p.m. on March 21, 2017, Employee #1 was feeding a piece of stock into the blue ring roller machine. The employee's glove became caught in the rollers, pulling her hand in and crushing her fingers. The employee was taken to a nearby hospital where she waited several hours before being transported via ambulance to a larger hospital. Due to the delay in treatment, Employee #1 had to have her fingertips amputated. "
1208,3/21/2017,,,,V,V,Male,Employee,"Fracture, Broken Bones","At 9:00 a.m. on March 21, 2017, Employee #1 was cleaning sawdust from around the board that was edging the machine. The employee's jacket was pulled into the rotating chain and sprocket, causing his arm to be fractured, as well as tearing of the skin. Employee #1 was hospitalized for his injuries. "
1209,3/21/2017,,,,V,V,Female,Employee,"Amputation, Crushing","At 8:40 a.m. on March 20, 2017, Employee #1 was handling a a damaged M106 Smoke Grenade. The unexploded ordinance detonated in the employee's hand, causing his pinky finger and part of his thumb to be blown off. "
1210,3/21/2017,,,,V,V,Male,Employee,Serious Fall/Strike,"At approximately 8:00 a.m. on March 21, 2017, Employee #1 was using a plasma torch to cut the top off a drum that contained old brake fluid.  He was found unconscious but breathing with the plasma torch still operating in his hand. Employee #1 was hospitalized and died on June 16, 2017. "
1211,3/21/2017,,,,V,V,Male,Employee,Fall/strike,"At 6:15 a.m. on March 21, 2017, Employee #1 was working inside the grizzly hopper, removing bolts on the skirt rubber. The bulldozer operator did not know that he was inside and began pushing sand into the open hopper, covering the employee from his neck down and pinning him on the conveyor belt. The employee could not be extracted for approximately 2 hours, causing breathing and lung issues from the weight of the sand on his chest. "
1212,3/21/2017,,,,V,V,Male,Employee,"Bruising, Contusion","At approximately 4:30 p.m. on March 21, 2017, Employee #1 was unloading boxes containing department store goods from a semi-trailer.  An undetermined number of boxes fell on him causing a blunt force trauma to his chest.  The number of boxes that struck him was not determined since there were no witnesses and he did not report it at the time.  Employee #1 did mention at the end of his shift to his supervisor that some boxes fell but he was okay.  The following morning Employee #1 informed his supervisor that he wasn't feeling well and was going to the hospital.  At the hospital it was noted that he had pneumonia, a heart condition, and was struck by boxes.  Employee #1 was immediately taken in for heart surgery and he passed away at the hospital approximately 2 weeks later. "
1213,3/21/2017,,,,V,V,Male,Employee,Electrocution,"At approximately 3:00 p.m. on March 21, 2017, Employee #1 was painting when he was electrocuted by touching power lines. "
1214,3/21/2017,,,,V,V,Male,Employee,"Fracture, Broken Bones","At approximately 3:00 p.m. on March 21, 2017, an employee was removing and replacing damaged exterior vinyl siding J-channel. The employee was working from an extension ladder 18 feet above grade suffered an epileptic seizure. He fell from ladder to ground and suffered a fracture to the T-8 vertebrae. Employee was transported to hospital and underwent surgery where spinal fusing was performed. The employee was hospitalized and was expected to make a full recovery with no loss of bodily function.	 "
1215,3/21/2017,,,,V,V,Male,Employee,"Fracture, Broken Bones","At 3:30 p.m. on March 21, 2017, Employee #1 and a forklift operator were loading material onto a customers truck. The employee was riding back on the side of the Toyota forklift and jumped off to open the gate for the service man. When Employee #1 jumped off of the forklift, the forklift operator turned left, running over the employee's foot, fracturing his right ankle. Employee #1 was hospitalized for his injuries. "
1216,3/21/2017,,,,V,V,Male,Employee,Laceration,"At 3:45 p.m. on March 21, 2017, Employee #1 and a coworker were dispatched to a residential home that had been damaged by fire. The employees arrived at the site and began cutting four foot by eight foot plywood sections to board up the windows of the home. The work began on the south side of the house and the employees were working their way around to the east side. The coworker cut the plywood while Employee #1 used an eight foot Werner fiberglass folding ladder to access the windows. The ground in front of the first window was on a slope. Employee #1 tried to lift a piece of the plywood into place, but the ladder kicked out, and he fell to the concrete slab below. The employee sustained a two inch laceration to his head, and his left shoulder was fractured in four places. Employee #1 was hospitalized and received a total shoulder replacement. "
1217,3/21/2017,,,,V,V,Male,Employee,Serious Fall/Strike,"At 2:30 p.m. on March 21, 2017, Employee #1, a maintenance worker, was using a fiberglass extension ladder to perform service on a baler machine. The employee placed the ladder against the side of the baler machine and began working at a height of approximately five to eight feet above the ground. While working from the ladder, the bottom of the ladder slid out, causing the ladder and the employee to fall to the ground. An ambulance was called and Employee #1 was taken to the hospital where he was  treated for a separated right shoulder. "
1218,3/21/2017,,,,V,V,Female,Employee,"Fracture, Broken Bones","At approximately 2:00 p.m. on March 21, 2017, an employee was cutting a section of sheathing with a cutting saw circular in order to create an opening for a staircase. The employee was not wearing fall protection and fell 9 feet 3 inches to the basement floor below.  The employee received a fractured eye socket and was hospitalized. 	 "
1219,3/21/2017,,,,V,V,Male,Employee,"Amputation, Crushing","At 12:30 p.m. on March 20, 2017, Employee #1 was working alone from an A-frame ladder, attempting to fix the wiring on an electrical junction box in the basement of a residential rental property. The ladder was set up on an unstable surface and was not tied or blocked to prevent movement. The employee was standing approximately two to three rungs up on the ladder when it became unstable and began to slip. Employee #1 jumped off of the ladder, but his wedding ring caught on a screw that was on the junction box, amputating his finger. "
1220,3/21/2017,,,,V,V,Male,Employee,"Amputation, Crushing","At 1:00 p.m. on March 21, 2017, Employee #1 was operating a LC10 press. There was a jammed lid in the press and the employee reached through the guard to remove it. Employee #1 sustained a partial amputation of the index and middle fingers on his left hand. "
1221,3/21/2017,,,,V,V,Male,Employee,"Amputation, Crushing","At 1:00 p.m. on March 21, 2017, Employee #1 was operating a baler. The employee stuck his foot between the baler's ram and the ledge (pinch point inside the baler), in order to compact the material. As the employee moved the ram with his left foot, it became caught in the pinch point area, causing an amputation of two toes and a partial amputation of another. "
1222,3/21/2017,,,,V,V,Male,Employee,"Amputation, Crushing","As 1:00 p.m. on March 21, 2017, Employee #1 was using the hydraulic brake press to bend metal. The employee was holding the product with his left hand at the bottom and his right hand at the top. Employee #1 was wearing heavy rubber gloves to protect his hands from the sharp edges of the metal. The employee did not notice that his glove and the fingertip of his left ring finger were in the second bend slot. When he activated the machine to make the first bend, he crushed his finger in the second bend slot, which resulted in the amputation of his left ring fingertip. "
1223,3/21/2017,,,,V,V,Male,Employee,"Amputation, Crushing","At 1:50 p.m. on March 21, 2017, Employee #1 was prepping the bird feeding system. The employee reached into the feed system to remove a piece of paper. The employee's hand became caught in the feed system chain, crushing his fingers and amputating his ring finger. "
1224,3/20/2017,,,,V,V,Male,Employee,"Bruising, Contusion","At approximately 12:30 p.m. on March 20, 2017, an employee and a coworker entered an unprotected excavation approximately 15-18 feet deep. The employee was talking to his supervisor approximately 10 feet away from an excavation wall when a section of the wall partially collapsed. The employee was struck by soil material falling down. The employee suffered from bruised legs and body system and was treated and released from the local hospital. During the same incident two surveyors employed by a separate company were also injured; the injuries were not specified. One of them was treated and released; the other employee was hospitalized for approximately three days. the other employee was hospitalized for approximately three days."
1225,3/20/2017,,,,V,V,Male,Employee,"Fracture, Broken Bones","At 12:30 p.m. on March 20, 2017, Employee #1 was watching a coworker cut down a tree. As the tree was cut, a hanger tree slid down, breaking off a large limb from the hanger tree stump. The tree limb fell, striking Employee #1 and fracturing four of his vertebrae. The employee was hospitalized for his injuries. "
1226,3/20/2017,,,,V,V,Male,Employee,"Fracture, Broken Bones","At approximately 11:00 a.m. on March 20, 2017, an employee and coworkers were paving a parking lot. The employee was too close to a backhoe which ran over his foot. The employee fractured his ankle for which he was hospitalized. "
1227,3/20/2017,,,,V,V,Female,Employee,Dislocation,"At approximately 11:45 a.m. on March 20, 2017, an employee was communicating with welders at the bottom of a wood framed stair well by voice and a crane operator to position a flight of steel stairs to be welded into place. The employee was leaning against the top rail of a guard rail system.  When one side of the guard rail detached from the post, the employee fell 57 feet.  The employee hit horizontal supports on the way to the stairs and floor 57 feet below and suffered fractured ribs, a fractured hip, sprains and dislocation of a knee, hernia his abdomen.  The employee was hospitalized. "
1228,3/20/2017,,,,V,V,Male,Employee,Dislocation,"At 10:45 a.m. on March 20, 2017, Employee #1 was tasked with cleaning gutters at two university buildings. The employee was using an extension ladder to climb onto the roof while carrying a leaf blower.  The employee finished cleaning the gutters on the first building, and proceeded to the next building. After he was finished cleaning the gutters of the second building, he began to climb down the ladder.  As he climbed down the ladder, with the leaf blower in one hand, the ladder started to tip laterally and Employee #1 fell to the ground, dislocating his shoulder. The employee was hospitalized for his injury. "
1229,3/20/2017,,,,V,V,Male,Employee,"Amputation, Crushing","At 10:30 a.m. on March 20, 2017, an employee was cleaning some plastic and weather stripping ground material from a Kice Aspirator.  Employees were trained only to clean the area where the aspirator opening was and, if the fan blades were blocked, maintenance should be called in to lock it out and clean it.  There was an open hole approximately four inches wide which was approximately 89 inches off the ground in which the employee could stick his hand into and reach the fan blades. The employee reached in and amputated his left middle finger and the tip of his left ring finger while cleaning the Aspirator.  The employee was not hospitalized. "
1230,3/20/2017,,,,V,V,Male,Employee,"Amputation, Crushing","At approximately 7:10 p.m. on March 20, 2017, an employee was ripping a large piece of four inch thick foam insulation, sheet size approximately 4 foot by 5 Foot. The guard had been raised to allow a narrow piece of foam to be ripped down to size; the foam got caught on the edge of the 16 inch table saw, which was not properly guarded. The employee's hand slipped and made contact with the saw blade, resulting in amputation of three fingers. The employee was hospitalized and treated for his injuries. d and treated for his injuries."
1231,3/20/2017,,,,V,V,Male,Employee,"Bruising, Contusion","At 7:00 p.m. on March 20, 2017, Employee #1 was preparing to clean the rollers on the Anets SDR-4 Pizza Dough Roller Machine, located in the kitchen Area. It was normal practice to run hot wet towels through the machine rollers to quickly clean off the flour and dough. As the employee turned on the machine to run the towel through, the rollers grabbed both the towel and his right thumb, causing crushing injuries and a fracture to the employee's thumb. "
1232,3/20/2017,,,,V,V,Male,Employee,"Fracture, Broken Bones","At 4:45 p.m. on March 20, 2017, Employee #1 was cleaning a room and making up bunk beds. As the employee made the bed on the top bunk, she fell five feet and fractured her wrist. "
1233,3/20/2017,,,,V,V,Male,Employee,"Amputation, Crushing","At 3:45 p.m. on March 20, 2017, Employee #1 was placing a plastic strap on a roll of flat steel. As he secured the plastic strap around the roll to the skid, his hand became caught in between the steel roll and the plastic banding, amputating his fingertip. "
1234,3/20/2017,,,,V,V,Male,Employee,"Fracture, Broken Bones","At approximately 3:10 p.m. on March 20, 2017, an employee, a carpenter, was in the process of taking a measurement to install j-channel and flashing around a gang of three windows.  The employee was working approximately nine feet off the concrete surface below off of scaffold plank that was cantilevered off the side of a scissors lift.  While measuring the top of the windows the employees fell off the planking suffering a fractured left pelvis in front and back, fractured tailbone, four fractured ribs, left separated shoulder and lacerations on the left thumb.  The employees was transported and admitted to Carle Foundation Hospital in Urbana. "
1235,3/20/2017,,,,V,V,Male,Employee,"Amputation, Crushing","At 3:15 p.m. on March 20, 2017, Employee #1 was assisting a coworker who was moving a system of rollers. The employee lifted one section of a roller so that the coworker, who was operating the forklift, could get the fork under the piece. The employee's finger got pinched between the fork and the metal frame piece that he was holding, causing a partial amputation to the tip of his left middle finger. "
1236,3/18/2017,,,,V,V,Female,Employee,"Bruising, Contusion","At approximately 10:30 a.m. on March 18, 2017, an employee was conducting a walkthrough of a unit which was assigned to have cabinets installed. The employee walked around a board on the floor, but the area was not well lit to identify the purpose of the board. The employee was attempting to close the closet door that was opened blocking a change in the floor elevation at the end of the hallway, thereby, exposing employees to a three foot drop. When, the employee went to lift the board and close the closet door, the employee fell four feet onto a concrete subfloor. The employee was hospitalized and treated with bruised right knee, bruised left shoulder, arm, neck and back. "
1237,3/18/2017,,,,V,V,Male,Employee,Serious Fall/Strike,"At approximately 3:00 a.m. on March 18, 2017, Employee #1 was found dead in his bed at home.  Family suggested he died from an injury when he tripped and fell at work several weeks earlier.  Coroner stated Employee #1 died due to natural causes. "
1238,3/17/2017,,,,V,V,Male,Employee,"Fracture, Broken Bones","At approximately 7:45 a.m. on February 21, 2017, an employee, maintenance mechanic, was assigned to troubleshoot problematic conditions. The employee was drying the surface of 1 of 2 horizontal moving drive belts of a rolling ball machine with a paper towel.  The employee accessed this section of the machine though an unguarded area located in front of the equipment. Consequently, the employee's left index finger became wedged in between the drive pulley and belt causing a partial finger amputation. The employee was hospitalized and treated for his injuries. "
1239,3/17/2017,,,,V,V,Male,Employee,"Bruising, Contusion","At approximately 6:15 a.m. on March 17, 2017, Employee #1 was closing an aircraft door when he fell approximately 15 feet.  Employee #1 suffered from multiple injuries to his head and body and was killed. "
1240,3/17/2017,,,,V,V,Male,Employee,Laceration,"At 1:00 a.m. on March 17, 2017, an employee was moving a fixture display wall. The wall was 20 feet long, 11.5 feet tall, and approximately 3 feet wide. The wall tipped over and fell on top of the employee, fracturing his skull, nose, and three vertebra; sustained nose lacerations and a collapsed lung. The employee was hospitalized and treated for his injuries. yee was hospitalized and treated for his injuries."
1241,3/16/2017,,,,V,V,Male,Employee,"Amputation, Crushing","At 12:40 p.m. on March 16, 2017, an employee was inspecting a belt in a truck engine while the engine was turned on.  The employee caught four fingers on the left hand and amputated them. The employee was hospitalized and treated for his injuries. "
1242,3/16/2017,,,,V,V,Male,Employee,"Amputation, Crushing","On March 16, 2017, an employee was setting up operations on a slitter which included installing a guard bar in place that keeps the overarm from coming down on spindle area while operator is manually putting shims in place.  The employee installed the guide bar upside down as the overarm came down in place and then reached to turn it over as the machine was operating.  The employee caught the tip of his right index finger in the nip point that was created by the overarm and guard bar, amputating it from their finger. "
1243,3/16/2017,,,,V,V,Male,Employee,Laceration,"At approximately 11:30 a.m. on March 16, 2017, an employee was installing a piece of plywood with a nail gun to the exterior side wall of a garage of a middle unit of townhome building. The employee fell from ladder to the ground and fractured his right ankle. The employee was hospitalized and treated for his injuries. "
1244,3/16/2017,,,,V,V,Male,Employee,"Amputation, Crushing","At 11:15 p.m. on March 16, 2017, an employee was performing minor servicing and cleaning the flexicon machine in Room Line Number 6. The employee did not de-energize the equipment, and his hand came into contact with the rotating part of the screw conveyor.  The employee amputated part of his index finger and sustained several lacerations to the middle and ring fingers on the left hand. The employee was hospitalized and treated for his injuries. "
1245,3/16/2017,,,,V,V,Female,Employee,Serious Fall/Strike,"At approximately 11:00 a.m. on March 16, 2017, an employee had been instructed to frame an interior wall, but he went to the roof instead. The employee fell 30 feet to the ground below. The task the employee was performing when he fell was unclear. The employee was hospitalized and treated for unspecified injuries. "
1246,3/16/2017,,,,V,V,Male,Employee,"Amputation, Crushing","At 10:00 a.m. on March 16, 2017, an employee was working on the Scotchman Industries Model 6509  ironworker and was fashioning a switch housing.  The employee used the press function of the ironworker and pinched the tip of his right thumb between the part and the top die.  The employee amputated the right thumb above the first knuckle. "
1247,3/16/2017,,,,V,V,Male,Employee,"Asphyxiation, Drowning","At approximately 9:00 a.m. on March 16, 2017, Employee #1 was attempting to unthaw a frozen pulley wheel on a machine.  He reached in to clear a patch of ice and was pulled into and caught in the conveyor system.  Employee #1 was killed. "
1248,3/16/2017,,,,V,V,Male,Employee,Laceration,"At 9:15 a.m. on March 16, 2017, an employee was troubleshooting an energized electrical circuit.  The employee received an electrical shock and fell from the ladder he were using.  The employee suffered a fractured eye socket, lacerations, broken vertebra, broken back, and broken wrist. The employee was hospitalized and treated for his injuries. "
1249,3/16/2017,,,,V,V,Male,Employee,Serious Fall/Strike,"At 9:50 p.m. on March 16, 2017, an employee was operating a steel sheet metal production machine in the automated mode and at normal production speed to carry out product test run checking on new coil proper sheet setup configuration. The employee was performing regular servicing machine setup tasks when his right hand became caught-in the nip point of two rotating air-powered in-feed horizontal rollers (36 inch long rollers, positioned vertically to each other) used for pulling steel sheet from the steel sheet coil located on the nearby mandrel coil station about six feet away.  The employee's pinky fingertip part of the glove contacted the nip point and was pulled into a small opening nip with the right hand getting caught between subject rollers.  After being extracted from the machine, the employee was transported to the local emergency room at the medical center in Rockford, IL. On March, 17, 2017, the employee was transported to University of Wisconsin Medical Center where he was hospitalized and was released two days later.  The employee suffered right hand de-gloving injury with thumb, index, and middle finger lacerations, hairline fractures, and pins installed during surgery. "
1250,3/16/2017,,,,V,V,Male,Employee,"Fracture, Broken Bones","At approximately 9:30 a.m. on March 16, 2017, an employee was in the process of tying off the top of his 14-28 foot extension ladder to the structure he was attempting to access.  As he performed this routine work, the ladder began to slip from the roof it was resting against, allowing the employee to fall approximately 12 feet to the asphalt drive.  He suffered a shattered heel and a compound leg fracture.  After the fall, emergency services were called to the site and transported the employee to a local hospital, where he was hospitalized and treated for his injuries. "
1251,3/16/2017,,,,V,V,Male,Employee,"Fracture, Broken Bones","At 9:45 a.m. on March 16, 2017, an employee was in a tree cutting branches. The employee fell off the tree to the ground and fractured his head. The employee died of his injuries 13 days later. "
1252,3/16/2017,,,,V,V,Male,Employee,"Fracture, Broken Bones","At 9:45 a.m. on March 16, 2017, an employee was guiding the forklift driver that was carrying a metal grate into the building.  The employee was struck by the 3 foot by 15 foot metal grate and fractured his lower left leg.  The employee was hospitalized and treated for his injuries. "
1253,3/16/2017,,,,V,V,Male,Employee,Heat Exhaustion,"At 9:15 a.m. on March 16, 2017, two employees were weeding a melon field and exhibited symptoms of heat illness.  One employee fainted but both were taken to the hospital.  The employee that fainted was treated for work-related heat illness.  Neither employee was hospitalized. "
1254,3/16/2017,,,,V,V,Female,Employee,"Amputation, Crushing","At 9:30 p.m. on March 16, 2017, an employee was removing the top and bottom hand forged stress relief dies that were installed on a two and a half ton hydraulic forging press.  The employee amputated three fingers on the left hand when the upper die of the press suddenly dropped while the employee removed the last bolt with a handheld impact wrench. The employee was hospitalized and treated for his injuries. "
1255,3/16/2017,,,,V,V,Male,Employee,Serious Fall/Strike,"At approximately 8:00 a.m. on March 16, 2017, Employee #1 was directing traffic at a landfill.  He was standing behind a truck and trailer when it backed up, sticking and killing him. "
1256,3/16/2017,,,,V,V,Male,Employee,Serious Fall/Strike,"At 8:43 p.m. on March 16, 2017, an employee was sorting potatoes for processing.  The employee began to feel ill and went into the break room to relax.  The employee was overcome with weakness and dizziness and was hospitalized. "
1257,3/16/2017,,,,V,V,Male,Employee,Serious Fall/Strike,"At approximately 7:15 a.m. on March 16, 2017, Employee #1 was trying to remove an unlawful driver from inside a cab of an ambulance.  Employee #1 was thrown to the ground and run over.  Employee #1 was killed. "
1258,3/16/2017,,,,V,V,Male,Employee,Head Trauma,"At approximately 7:00 p.m. on March 16, 2017, Employee #1 was on a roof removing roof panels with no fall protection.  He backed off of the roof and fell approximately 18 foot to a concrete surface.  Employee #1 was killed. "
1259,3/16/2017,,,,V,V,Male,Employee,"Fracture, Broken Bones","At 7:00 a.m. on March 16, 2017, an employee was walking to his work area in a shipyard.  The employee slipped and fell, fracturing his right ankle for which he was hospitalized. "
1260,3/16/2017,,,,V,V,Male,Employee,Serious Fall/Strike,"At 7:45 a.m. on March 16, 2017, an employee was using a rag to clean the leveler rollers on a Duece Press.  The employee's arm was pulled into the rollers when the rag was caught on the rollers and pulled into the press.  The employee's arm was degloved from his shoulder to his elbow.  The employee was hospitalized and treated for his injuries. "
1261,3/16/2017,,,,V,V,Male,Employee,Electrocution,"At approximately 6:30 p.m. on March 16, 2017, Employee #1 was electrocuted. "
1262,3/16/2017,,,,V,V,Male,Employee,"Amputation, Crushing","At 6:45 a.m. on March 16, 2017, an employee climbed over a guardrail and reached down to clear jam.  The employee's finger was caught in the conveyor belt system and amputated the employee's fingertip.  The employee was hospitalized. "
1263,3/16/2017,,,,V,V,Female,Employee,"Fracture, Broken Bones","At approximately 6:00 p.m. on March 16, 2017, an employee was operating a stand-up forklift and was backing it into a parking space in the charging area.  The employee was going too fast, was not able to stop it, and jumped from it to avoid being injured.  The employee broke several bones in their foot when he landed on the ground. The employee was hospitalized and treated for his injuries. "
1264,3/16/2017,,,,V,V,Male,Employee,"Amputation, Crushing","At 6:30 a.m. on March 16, 2017, an employee was fixing a clock in the bus. The employee caught her right hand index finger between the fan belt and pulley, amputating it to the first knuckle.  The employee was hospitalized and treated for her injuries. "
1265,3/16/2017,,,,V,V,Male,Employee,Serious Fall/Strike,"At approximately 5:30 a.m. on March 16, 2017, Employee #1 was struck and killed by a passing train. "
1266,3/16/2017,,,,V,V,Male,Employee,"Bruising, Contusion","At 5:17 p.m. on March 16, 2017, an employee was loading Hay into the back of a Dodge Dually pickup truck. The employee fell out of the back of the truck and bruised his back and tailbone, and punctured a lung. The employee was hospitalized and treated for his injuries. "
1267,3/16/2017,,,,V,V,Male,Employee,"Amputation, Crushing","At 5:00 p.m. on March 16, 2017, an employee was cutting an electrical cable using a box cutter.  The employee amputated a portion of his left thumb when the  box cutter slipped and cut into the employee's thumb approximately 1 inch below his fingertip.  The employee was hospitalized and treated for his injuries. "
1268,3/16/2017,,,,V,V,Male,Employee,Head Trauma,"At approximately 5:50 p.m. on March 16, 2017, Employee #1 was standing on an A-frame ladder propped against a wall.  He fell from the ladder and struck his head on the concrete floor.  Employee #1 was killed. "
1269,3/16/2017,,,,V,V,Male,Employee,"Amputation, Crushing","At 4:00 p.m. on March 16, 2017, an employee was repositioning the drive belts back on the drive and pulleys of the drive system.  A conveyor belt button was accidently pushed, starting the motor and the drive pulley to rotate.  The employee amputated the fourth finger on his left hand when it was pulled into a nip point on the drive pulley for the shredding machine. "
1270,3/16/2017,,,,V,V,Male,Employee,"Fracture, Broken Bones","At 4:45 p.m. on March 16, 2017, an employee was questioning a patient who suddenly became agitated and unruly. The employee confronted the patient and began to search the patient for a metal splint that had gone missing.  The patient became agitated and struck the employee with a closed first on the nose.  The employee's nose swelled and was ldiagnosed to be broken several hours later. The employee was not hospitalized. "
1271,3/16/2017,,,,V,V,Male,Employee,"Fracture, Broken Bones","At 3:00 p.m. on March 16, 2017, an employee was operating a printing press. The employee crawled under some stairs to access a feed roller to scrape off some scarp adhesive from the rollers.  The employee reached in while the press was still running and had their right arm pulled in to their shoulder, crushing it. "
1272,3/16/2017,,,,V,V,Female,Employee,"Bruising, Contusion","At 3:30 a.m. on March 16, 2017, an employee was adjusting the proximity switch flag for the bead set stop.  The employee was caught between the inner bead can and the equipment cabinet while he was adjusting the flag switch causing the equipment to cycle.  The employee received crushing injuries to the chest and pelvic area. The employee was hospitalized and treated for his injuries. "
1273,3/16/2017,,,,V,V,Male,Employee,Serious Fall/Strike,"At approximately 2:30 p.m. on March 16, 2017, Employee #1 was vacuuming water out of a casement pvc pipe, that was around a bridge pylon support in preparation for pouring of cement.  A vehicle, a Ford Bronco, crashed through the barricades and traveled 60 foot in the air and struck Employee #1, killing him. "
1274,3/16/2017,,,,V,V,Male,Employee,Serious Fall/Strike,"At 2:20 p.m. on March 16, 2017, an employee was helping a parent carry a stroller upstairs.  The employee missed a step and fell due to the weight of the stroller.  The employee injured her right wrist, ankle and shoulder.  The employee was hospitalized and treated for her injuries. "
1275,3/16/2017,,,,V,V,Male,Employee,Laceration,"At 1:45 a.m. on March 16, 2017, an employee was stringing wire through a wire drawing machine to start a new production run.  The employee was using a chain type wire puller known as a ""puller dog"".  The puller dog was a chain device with a hook on one end and a block at the other.  The block portion of the puller dog was attached to the end of the wire and the hook portion was attached to the wire drawing machine block, known as a capastan.  The puller dog helps wrapped the wire around the capastan.  The employee opened a small door that covered the capastan block to see how much of the wire was wrapped on the capastan.  The wire came free from the puller dog and the dog chain struck the employee in the face and hands.  The employee was taken to the hospital for medical attention to their injuries. "
1276,3/16/2017,,,,V,V,Male,Employee,Head Trauma,"At approximately 1:45 p.m. on March 16, 2017, Employee #1 and #2 were work from a carpenters bracket scaffolding installing fascia trim so they could start installing roofing panels. The bracket from the scaffolding pulled off and both employees fell 16 feet to the ground. Both employees were hospitalized and treated for unspecified broken bones. "
1277,3/15/2017,,,,V,V,Male,Employee,Serious Fall/Strike,"At approximately 12:30 p.m. on March 15, 2017, Employee #1 was part of a roofing crew that was applying patching materials to a flat roof.  Employee #1 stated he was not feeling well and the foreman and the roofing crew got him into the elevator to go down to the trucks to rest.  On the way down Employee #1 collapsed and stopped breathing.  Employee #1 died as a result of complications from C.O.P.D and cardio vascular diseases. "
1278,3/15/2017,,,,V,V,Male,Employee,"Amputation, Crushing","At 12:15 a.m. on March 15, 2017, an employee was running production parts through an Amada RG-50 press brake. While the employee was working on the Amada RG-50 press brake to form the metal parts, she noticed that the metal part was extended past the die on the left side. The employee reached in to push the part to the right while unintentionally cycling the press brake. Her left ring finger became caught between the dies, resulting in the amputation of her left ring finger at the first knuckle. "
1279,3/15/2017,,,,V,V,Male,Employee,Head Trauma,"At 12:30 p.m. on March 15, 2017, an employee was topping off wine barrels while standing on a 12 foot mobile ladder.  The employee fell from the ladder and landed on the floor and a wine barrel rack.  The employee sustained multiple injuries that included fractured wrist, and ribs and a blood clot in his head. "
1280,3/15/2017,,,,V,V,Male,Employee,Serious Fall/Strike,"On March 15, 2017, Employee #1 fell from an elevation and died. "
1281,3/15/2017,,,,V,V,Female,Employee,"Amputation, Crushing","At 12:30 p.m. on March 15, 2017, an employee was training a coworker on how to use a sewer drain cleaner called a Sreco Flexible Sewer Rodding machine.  The employee tried to hold the turning rod as it was placed into the drain pipe. The cutter bit on the end of rotating rod bound up and the tension on the rod caused it to wind up, crushing two of the employees fingers on his right hand in the coil.  The employee had to have the tip of his index finger and middle finger surgically amputated by a doctor  and was hospitalized. "
1282,3/15/2017,,,,V,V,Male,Employee,"Fracture, Broken Bones","At 11:30 p.m. on March 15, 2017, an employee walked into the Cryovac room, rolled her ankle, and fell to the floor.  The employee sustained two broken bones in her left ankle and was hospitalized.. "
1283,3/15/2017,,,,V,V,Male,Employee,"Bruising, Contusion","At 11:30 a.m. on March 15, 2017, an employee was walking to the clinic parking lot.  The employee tripped and fell over a parking block.  The employee suffered multiple injuries that included a fractured left arm, fractured nose, and bruised right arm. The employee was hospitalized and treated for his injuries. "
1284,3/15/2017,,,,V,V,Male,Employee,"Asphyxiation, Drowning","At approximately 10:00 a.m. on March 15, 2017, Employee #1, diver and owner, was inside a 65 foot high water tank with a level of 57 foot of water.  He was cleaning the bottom of the tank with a vacuum.  He finished and was inspecting the bottom of the tank when he reported to a coworker, ground person, that he was not getting air to his helmet.  The coworker turned on the back up air which runs through the main hose. Employee #1 was still not getting air and did not use his bailout tank he was carrying as an emergency source of air. There were no rescue procedures in place to hoist an injured and or unconscious diver from the water.  Employee #1 died.unconscious  to asphyxiation  lack of breathing air to divers helmet, back of use of back up emergency air. ng air to divers helmet, back of use of back up emergency air."
1285,3/15/2017,,,,V,V,Male,Employee,"Fracture, Broken Bones","At 10:45 a.m. on March 15, 2017, an employee was on the snow covered roof of the garage, repairing a roof leak. The employee fell through a plastic sky light, striking a parked vehicle and concrete floor.  The employee suffered multiple injuries to his head and chest and was hospitalized. "
